OrderItemID,OrderID,ItemID,ItemCode,OrderItemTypeID,Unit,UnitPrice,NumberOfUnits,Received,OrderNote,OrderComments,Leftover,ToOrder
46571,1507.0,8358,,3.0,25,0.0,,False,0.0,,,
46573,1507.0,8356,,3.0,72,0.0,,False,0.0,,,
46574,1508.0,6026,,2.0,100,0.0,,False,0.0,,,
46575,1508.0,8118,,2.0,100,0.0,,False,0.0,,,
46576,1508.0,8180,,2.0,280,0.0,,False,0.0,,,
46577,1509.0,7640,,2.0,400,0.0,,False,0.0,,,
46578,1509.0,7491,,2.0,100,0.0,,False,0.0,,,
46579,1509.0,6310,,2.0,50,0.0,,False,0.0,,,
46580,1509.0,7125,,2.0,50,0.0,,False,0.0,,,
46581,1509.0,1417,,2.0,50,0.0,,False,0.0,,,
46582,1509.0,2401,,2.0,50,0.0,,False,0.0,,,
46583,1509.0,7800,,2.0,50,0.0,,False,0.0,,,
46584,1509.0,5153,,2.0,125,0.0,,False,0.0,,,
46587,1510.0,8360,,2.0,50,0.0,,False,0.0,,,
46588,1510.0,8361,,2.0,50,0.0,,False,0.0,,,
46589,1510.0,5832,,2.0,100,0.0,,False,0.0,,,
46590,1510.0,257,,2.0,100,0.0,,False,0.0,,,
46591,1510.0,6919,,2.0,100,0.0,,False,0.0,,,
46592,1510.0,6246,,2.0,50,0.0,,False,0.0,,,
46593,1510.0,6922,,2.0,100,0.0,,False,0.0,,,
46596,1511.0,7138,,2.0,50,0.0,,False,0.0,,,
46597,1511.0,7139,,2.0,50,0.0,,False,0.0,,,
46598,1512.0,8362,,2.0,150,0.0,,False,0.0,,,
46599,1512.0,8363,,2.0,150,0.0,,False,0.0,,,
46600,1512.0,8364,,2.0,200,0.0,,False,0.0,,,
46601,1512.0,8365,,2.0,550,0.0,,False,0.0,,,
46602,1512.0,8368,,2.0,100,0.0,,False,0.0,,,
46603,1512.0,8366,,2.0,100,0.0,,False,0.0,,,
46604,1512.0,8367,,2.0,100,0.0,,False,0.0,,,
46605,1513.0,6898,,2.0,50,0.0,,False,0.0,,,
46606,1513.0,7135,,2.0,100,0.0,,False,0.0,,,
46607,1513.0,7137,,2.0,50,0.0,,False,0.0,,,
46609,1513.0,8370,,2.0,100,0.0,,False,0.0,,,
46610,1513.0,8369,,2.0,300,0.0,,False,0.0,,,
46611,1514.0,6925,,2.0,50,,,False,0.0,,,
46612,1514.0,6924,,2.0,50,,,False,0.0,,,
46613,1514.0,2846,,2.0,100,,,False,0.0,,,
46614,1514.0,6609,,2.0,50,,,False,0.0,,,
46615,1514.0,5378,,2.0,50,,,False,0.0,,,
46616,1514.0,5940,,2.0,50,,,False,0.0,,,
46617,1514.0,6607,,2.0,50,,,False,0.0,,,
46618,1514.0,2849,,2.0,50,,,False,0.0,,,
46619,1514.0,8490,,2.0,50,,,False,0.0,,,
46620,1514.0,5942,,2.0,50,,,False,0.0,,,
46621,1514.0,5553,,2.0,50,,,False,0.0,,,
46622,1514.0,7127,,2.0,50,,,False,0.0,,,
46623,1514.0,7749,,2.0,50,,,False,0.0,,,
46624,1514.0,7750,,2.0,50,,,False,0.0,,,
46625,1514.0,8491,,2.0,50,,,False,0.0,,,
46626,1514.0,7835,,2.0,50,,,False,0.0,,,
46627,1514.0,7836,,2.0,50,,,False,0.0,,,
46628,1514.0,7838,,2.0,50,,,False,0.0,,,
46629,1514.0,6606,,2.0,50,,,False,0.0,,,
46630,1514.0,5379,,2.0,50,,,False,0.0,,,
46631,1514.0,8119,,2.0,50,,,False,0.0,,,
46632,1514.0,8297,,2.0,50,,,False,0.0,,,
46633,1515.0,6778,,13.0,30,,,False,0.0,,,
46635,1515.0,4444,,26.0,12,,,False,0.0,,,
46636,1515.0,8000,,19.0,12,,,False,0.0,,,
46637,1515.0,7999,,27.0,35,,,False,0.0,,,
46638,1515.0,7999,,19.0,12,,,False,0.0,,,
46639,1515.0,3951,,27.0,60,,,False,0.0,,,
46640,1515.0,8001,,26.0,30,,,False,0.0,,,
46641,1515.0,6095,,26.0,10,,,False,0.0,,,
