PriceID,ItemID,UnitID,UnitPrice,Year
1,212,5.0,7.4,2002
2,419,13.0,25.75,2002
3,382,,5.25,2004
5,210,17.0,10.5,2003
6,2899,28.0,10.0,2003
8,2899,,10.0,2004
9,393,,2.75,2004
10,394,38.0,10.0,2003
11,394,0.0,5.25,2004
12,378,0.0,1.0,2004
13,492,0.0,6.0,2004
14,493,0.0,8.0,2004
15,423,0.0,6.0,2004
16,420,0.0,8.0,2004
17,421,0.0,13.0,2004
18,412,0.0,10.0,2004
19,413,0.0,15.0,2004
20,2897,0.0,0.75,2004
21,449,0.0,20.0,2004
22,3410,0.0,14.0,2004
23,2903,0.0,14.0,2004
24,2904,0.0,21.0,2004
25,3497,0.0,20.0,2004
26,3412,0.0,16.0,2004
27,3413,0.0,25.0,2004
28,3416,0.0,15.0,2004
29,3417,0.0,15.0,2004
30,3419,0.0,25.0,2004
31,3418,0.0,25.0,2004
32,3499,0.0,8.0,2004
33,3498,0.0,13.0,2004
35,3501,0.0,12.0,2004
36,3500,0.0,16.0,2004
37,3504,0.0,5.0,2004
38,3503,0.0,7.0,2004
39,3502,0.0,10.0,2004
40,3507,0.0,20.0,2004
41,3505,0.0,8.0,2004
42,3506,0.0,13.0,2004
43,3509,0.0,21.0,2004
44,3510,0.0,29.0,2004
45,3511,0.0,36.0,2004
46,3508,0.0,15.0,2004
47,3512,0.0,40.0,2004
48,3513,0.0,16.95,2004
49,3526,0.0,23.95,2004
50,3516,0.0,30.0,2004
51,3515,0.0,40.0,2004
52,3517,0.0,9.0,2004
53,3518,0.0,1.3,2004
54,3519,0.0,8.95,2004
55,531,0.0,4.0,2004
56,2885,0.0,4.5,2004
57,2886,0.0,5.0,2004
58,528,0.0,9.0,2004
59,527,0.0,14.0,2004
60,2887,0.0,35.0,2004
61,533,0.0,22.0,2004
62,3520,0.0,15.0,2004
63,534,0.0,12.0,2004
64,3521,0.0,12.0,2004
65,3522,0.0,15.0,2004
66,3523,0.0,6.5,2004
67,3524,0.0,7.0,2004
68,3525,0.0,10.0,2004
69,2890,0.0,11.0,2004
70,2892,0.0,1.5,2004
71,2893,0.0,1.6,2004
72,2894,0.0,1.75,2004
73,388,,1.0,2004
