PriceID,ItemID,UnitID,UnitPrice,Year
1,212,5,7.4,2002
2,419,13,25.75,2002
3,382,,5.25,2004
5,210,17,10.5,2003
6,2899,28,10,2003
8,2899,,10,2004
9,393,,2.75,2004
10,394,38,10,2003
11,394,0,5.25,2004
12,378,0,1,2004
13,492,0,6,2004
14,493,0,8,2004
15,423,0,6,2004
16,420,0,8,2004
17,421,0,13,2004
18,412,0,10,2004
19,413,0,15,2004
20,2897,0,0.75,2004
21,449,0,20,2004
22,3410,0,14,2004
23,2903,0,14,2004
24,2904,0,21,2004
25,3497,0,20,2004
26,3412,0,16,2004
27,3413,0,25,2004
28,3416,0,15,2004
29,3417,0,15,2004
30,3419,0,25,2004
31,3418,0,25,2004
32,3499,0,8,2004
33,3498,0,13,2004
35,3501,0,12,2004
36,3500,0,16,2004
37,3504,0,5,2004
38,3503,0,7,2004
39,3502,0,10,2004
40,3507,0,20,2004
41,3505,0,8,2004
42,3506,0,13,2004
43,3509,0,21,2004
44,3510,0,29,2004
45,3511,0,36,2004
46,3508,0,15,2004
47,3512,0,40,2004
48,3513,0,16.95,2004
49,3526,0,23.95,2004
50,3516,0,30,2004
51,3515,0,40,2004
52,3517,0,9,2004
53,3518,0,1.3,2004
54,3519,0,8.95,2004
55,531,0,4,2004
56,2885,0,4.5,2004
57,2886,0,5,2004
58,528,0,9,2004
59,527,0,14,2004
60,2887,0,35,2004
61,533,0,22,2004
62,3520,0,15,2004
63,534,0,12,2004
64,3521,0,12,2004
65,3522,0,15,2004
66,3523,0,6.5,2004
67,3524,0,7,2004
68,3525,0,10,2004
69,2890,0,11,2004
70,2892,0,1.5,2004
71,2893,0,1.6,2004
72,2894,0,1.75,2004
73,388,,1,2004
